tweet_id,favorite_count,retweet_count
835309094223372289,0,20325
827199976799354881,10426,2178
826598365270007810,9880,2295
836260088725786625,20891,4183
829011960981237760,52416,15950
829878982036299777,0,4884
827600520311402496,7363,918
829449946868879360,10296,1960
825535076884762624,56128,17241
828381636999917570,12408,2171
832769181346996225,0,38
829861396166877184,12053,1887
833732339549220864,0,214
828650029636317184,9358,1298
828361771580813312,2153,171
826598799820865537,5058,244
835685285446955009,0,7886
826848821049180160,35731,9922
832215909146226688,0,6050
830956169170665475,7854,1456
829141528400556032,23984,7158
832273440279240704,11146,2272
835297930240217089,16151,2910
828376505180889089,7271,1044
828046555563323392,11567,2806
828770345708580865,25186,5716
836397794269200385,0,26664
831309418084069378,11577,2403
834086379323871233,12817,2144
834209720923721728,20147,4613
831322785565769729,9126,1515
827933404142436356,19768,5119
828409743546925057,6252,1137
832369877331693569,16864,3113
828372645993398273,12394,2863
832636094638288896,15592,2709
834458053273591808,9443,1629
836677758902222849,12374,2161
832032802820481025,17550,4547
831939777352105988,23545,5982
835574547218894849,17444,3509
832682457690300417,11660,2837
826476773533745153,18137,4096
832215726631055365,0,9088
832998151111966721,13011,2131
833124694597443584,19840,4718
831262627380748289,11705,1991
833863086058651648,13198,2340
825147591692263424,18052,4438
836001077879255040,18686,4139
834167344700198914,15523,3561
826115272272650244,15417,3037
824796380199809024,0,5389
834089966724603904,9847,2075
829501995190984704,31196,10345
831911600680497154,27088,6332
834477809192075265,0,10345
835246439529840640,2054,71
828801551087042563,0,3341
836753516572119041,18946,4508
834931633769889797,10586,1580
825876512159186944,10334,1822
833479644947025920,14598,1983
825026590719483904,6197,1220
836380477523124226,14471,2901
832757312314028032,16569,3518
835536468978302976,0,1638
832645525019123713,2876,520
834786237630337024,21005,5366
826615380357632002,0,3899
831670449226514432,10257,1770
828708714936930305,35912,10916
834574053763584002,13387,2446
835172783151792128,25653,5594
835264098648616962,7573,1638
836648853927522308,0,535
825829644528148480,12562,2440
828408677031882754,7571,1254
830097400375152640,9624,2859
833826103416520705,17768,3672
832040443403784192,0,9334
827324948884643840,15594,2966
828011680017821696,10202,2104
830583320585068544,65622,16327
831926988323639298,331,34
827653905312006145,15271,2953
831552930092285952,8817,2264
826958653328592898,21247,4884
835152434251116546,21909,2912
833722901757046785,20463,3148
825120256414846976,0,1220
823581115634085888,12855,2577
813202720496779264,9180,1799
819952236453363712,5273,1155
821813639212650496,0,3312
824025158776213504,4762,588
813130366689148928,4457,442
815966073409433600,22202,8342
819015331746349057,0,18736
823333489516937216,693,22
813142292504645637,8435,2363
819711362133872643,13229,3068
821765923262631936,8315,1628
813187593374461952,19710,4306
821421320206483457,0,5467
816014286006976512,0,5189
815390420867969024,10285,3761
813157409116065792,7719,2183
817908911860748288,4808,787
814578408554463233,0,5763
820013781606658049,0,1155
819227688460238848,22846,6610
817415592588222464,5551,934
817120970343411712,12116,2561
817056546584727552,8511,1619
824663926340194305,10396,1736
816829038950027264,0,4652
814530161257443328,8564,1837
821044531881721856,12536,2232
818259473185828864,10907,2219
818627210458333184,22207,7439
820837357901512704,0,6610
817502432452313088,0,3342
823719002937630720,0,10961
819004803107983360,86111,36394
818646164899774465,0,20648
821149554670182400,8530,1930
822489057087389700,17901,6284
822462944365645825,27583,13984
813944609378369540,0,3144
819015337530290176,0,36394
820078625395449857,19592,6180
815639385530101762,8153,1628
816697700272001025,9692,2152
816450570814898180,30140,7935
817423860136083457,33421,14450
822872901745569793,129746,42339
821153421864615936,253,10
819924195358416896,12798,4808
822244816520155136,34548,9689
818588835076603904,0,6023
814153002265309185,28538,8561
821522889702862852,7951,1719
813217897535406080,18513,7214
